latitude,longitude,population,land_use,dist_river_m,dist_road_m
2.5949999999999998,101.69899999999919,2.4366663,5.0,196.58060033241816,472.06391222909326
2.5949999999999998,101.70399999999918,0.89780724,8.0,202.7580435774829,403.6895361065087
2.5999999999999996,101.6889999999992,5.021824,5.0,130.18717817782016,53.14648233421217
2.5999999999999996,101.69399999999919,8.234497,8.0,160.19035490192832,18.809984162235377
2.5999999999999996,101.69899999999919,8.072478,3.0,163.00439924029885,95.44516254147986
2.5999999999999996,101.70399999999918,3.5768666,5.0,89.29399695632286,47.10174002314427
2.6049999999999995,101.6889999999992,7.4734087,5.0,65.94287625621749,50.139991161089334
2.6049999999999995,101.69399999999919,3.5077696,5.0,490.61312054262334,35.63371830665219
2.6049999999999995,101.69899999999919,3.616645,5.0,148.54880206947675,45.15360785253987
2.6049999999999995,101.70399999999918,2.3432424,1.0,157.75215897475906,246.99404875078645
2.6049999999999995,101.70899999999918,0.61078626,1.0,85.17420467891336,87.34471470851629
2.6099999999999994,101.6889999999992,3.7437947,3.0,149.78928256564308,40.943075567516594
2.6099999999999994,101.69399999999919,3.7927444,3.0,164.57524638595615,146.7858927077553
2.6099999999999994,101.69899999999919,2.957437,3.0,23.37420407224066,13.862553079021303
2.6099999999999994,101.70899999999918,0.31852475,1.0,72.59767706355622,410.52687458868917
2.6099999999999994,101.71399999999917,0.4064769,1.0,370.0617287118573,238.77633667235858
2.6099999999999994,101.71899999999917,1.4898618,1.0,647.7316959661703,276.0330041080155
2.6099999999999994,101.72399999999917,0.78967035,1.0,670.6021673106218,317.81700116873884
2.6149999999999993,101.6789999999992,0.7452931,8.0,514.6739799018771,243.78639141022046
2.6149999999999993,101.6839999999992,0.9992121,8.0,21.461281483362352,145.84024425065115
2.6149999999999993,101.6889999999992,1.7522821,3.0,18.89955346138805,38.19391868581069
2.6149999999999993,101.69399999999919,5.5608068,3.0,324.14475491513366,30.584946482418527
2.6149999999999993,101.69899999999919,6.0565886,8.0,299.75700504662,84.880461636373
2.6149999999999993,101.70399999999918,6.6626163,8.0,343.8724995972884,70.74141851060915
2.6149999999999993,101.70899999999918,1.8992356,8.0,389.0849122218795,108.84326781236541
2.6149999999999993,101.71399999999917,1.6689603,1.0,33.768349675673015,115.67685129750114
2.6149999999999993,101.71899999999917,0.7973141,1.0,142.50680734442895,488.87227063167666
2.6149999999999993,101.72399999999917,0.28211486,1.0,234.14787181387555,603.1969436526452
2.6149999999999993,101.72899999999916,0.3554408,1.0,28.329123382593796,486.39537817410917
2.6149999999999993,101.73399999999916,0.36958608,1.0,420.50096705635417,419.101355977087
2.619999999999999,101.66399999999922,0.6099541,5.0,1930.5953347839138,8.706975592911204
2.619999999999999,101.66899999999922,0.8241095,1.0,1379.8767684728587,113.76836192320519
2.619999999999999,101.67399999999921,1.2165085,1.0,837.1687694475553,340.4247845411744
2.619999999999999,101.6789999999992,1.1642784,7.0,331.67834591118014,6.713266245016983
2.619999999999999,101.6839999999992,1.0944233,8.0,175.86158569039225,80.15474972844987
2.619999999999999,101.6889999999992,1.7574579,6.0,57.86768528483503,34.18503036843029
2.619999999999999,101.69399999999919,8.636263,3.0,125.1879714371907,126.07081533375353
2.619999999999999,101.69899999999919,12.177378,3.0,243.22773398079175,20.618223040989232
2.619999999999999,101.70399999999918,12.79235,3.0,163.16504410997052,24.745653919820175
2.619999999999999,101.70899999999918,8.077856,8.0,114.92015522628375,64.90222347120934
2.619999999999999,101.71399999999917,4.463225,8.0,262.9690416947022,59.01883762137934
2.619999999999999,101.71899999999917,1.2246459,8.0,44.38048663875678,247.6619425276263
2.619999999999999,101.72899999999916,0.20616116,8.0,43.90917488023756,52.66087152927514
2.624999999999999,101.64899999999923,0.88161695,5.0,1951.1940235238753,177.51895969982897
2.624999999999999,101.65399999999923,0.73642874,1.0,2475.112933869723,37.50090839425568
2.624999999999999,101.65899999999922,0.580578,1.0,2479.398280621604,298.597578070055
2.624999999999999,101.66399999999922,0.7057509,1.0,1926.3715325584162,534.2599954181603
