latitude,longitude,population,land_use,dist_river_m,dist_road_m,suitable
3.6475312437311995,101.60635697494837,0.029021878,8,2627.2401144659684,1039.2955060657812,1
2.673568975409227,101.74810003962949,0.5569806,1,231.36602263063344,135.1376933635932,1
3.516404260082591,101.55505257957952,0.10068903,1,175.5216063230833,1073.7820726721764,0
3.4975466570828044,101.61088749826439,1.2380537,1,442.76864302874657,173.4906698150919,1
3.492541147153127,101.55567027322024,0.20892885,8,248.80214583864444,28.63029883369004,0
3.317506735449801,101.69771967795523,1.2478764,8,266.2762078035503,152.63786379771213,0
3.6355951438413667,101.37274324723552,0.08473512,8,2963.475563490402,2986.9908034436826,0
3.219879592849546,101.59627907821661,36.465767,3,72.75411112173215,2.6100447409355003,0
2.7757482030482423,101.7500095688743,1.2914227,8,15.687546589845956,114.70834511235012,0
2.983521311333149,101.29330035085233,0.5777914,8,71.97199986756829,3099.129321532396,0
3.566170891663235,101.2895219557462,0.035627738,8,3185.0893254242783,9258.275121390143,0
3.1982631467170295,101.41230353315528,4.2551103,8,267.4813705887488,36.02090006823469,0
3.7378715927507624,101.60679445709954,0.051515162,8,483.0410657536127,2067.6457672214387,0
3.165354514391972,101.44149215061157,4.746778,8,392.53978879600425,20.04733326354376,0
3.480843513213698,101.53272248741749,0.48356935,8,82.44069406859518,57.00501839871459,0
2.7627127109343435,101.7401732636884,2.3226311,8,1202.400179369757,15.806077962710933,1
3.4465138409110008,101.77300187676992,0.5354176,8,947.9633981346589,1261.4430684395006,0
2.793335581831991,101.6233131568796,1.2571743,8,37.0586835118115,111.59657286628273,0
3.2139388500176453,101.57265844128115,69.76815,6,89.12213913938764,29.286049215143954,0
3.351222077708817,101.48853801616876,0.3250215,8,969.5468785709247,73.3139067034984,1
3.6635623025803383,101.12909828880042,0.05873423,8,3134.820810882225,3121.197290686673,0
3.568537142684198,101.1003342730609,0.9327114,2,1840.218158014578,97.38061786283573,1
3.4831149976936286,101.75196268931123,0.033076044,8,343.0273702099098,3591.569105341459,0
3.503583127093887,101.73645822226044,0.041272175,8,399.0923671668353,1102.4191707510063,0
3.548616672503821,101.12316181521275,1.0667808,2,1430.2978990362537,67.99347882802792,1
3.0189412622088936,101.87913403770347,0.13131821,1,113.67595565047256,86.89639674223871,1
3.124543398380669,101.34905882724898,3.4394078,8,49.801925671775784,27.868549809701523,0
3.3343194768814044,101.32935591660986,0.3025149,1,772.454812561095,805.7431368048168,1
3.7952320686466794,100.81396040893924,0.27686143,1,123.35833202027607,148.87019006308734,1
3.343920287357917,101.50210328172567,3.5771115,8,51.44514932183265,148.87981296883189,0
3.6257606609217587,101.05237572789737,3.744258,3,148.196110355817,19.74227457988422,0
