population,land_use,dist_river_m,dist_road_m,lon,lat,landuse_score,population_norm,dist_river_norm,dist_road_norm,mcda_score,suitable
2.831449,1.0,482.570403323539,45.92160787573578,101.7511943754102,2.80593805849406,0.8,0.0013841521919895072,0.05495938002344641,0.004447252526925839,0.13786171777961542,1
0.8316332,1.0,2758.280488124694,368.6246916576781,101.55916259500648,2.6976345079016637,0.8,0.0014041223037528638,0.3142300223332387,0.035701874008992204,0.22190082430808356,1
0.5869058,1.0,56.17997687764106,7.499192512754683,101.69703877803128,3.4426966183599585,0.8,0.0014065661455954226,0.00638090753799631,0.0007259430354796228,0.12255175901945321,1
6.555544,1.0,45.078653993352034,218.1099001126424,101.83847305297058,2.9176576533926237,0.8,0.0013469634702245603,0.005116138737294921,0.02112413033806093,0.12623110490337924,1
1.1938943,1.0,694.7760724295213,63.96268781241601,101.34047971223748,3.177252676465266,0.8,0.0014005047732510434,0.0791358779430813,0.006194577398880455,0.14546985553333835,1
0.03382313,8.0,193.93768436699463,97.1221644696157,101.73611641677353,3.5607719514777005,0.1,0.001412089215637402,0.022075582155132348,0.009406157775857892,0.023998137427184374,0
0.11074936,8.0,4192.747981373138,3922.13583951552,101.2925983763469,3.474189719556984,0.1,0.0014113210321823333,0.4776582686775171,0.37986854436423484,0.2347651518373659,1
0.39939493,1.0,148.1552113529305,258.59303271835444,101.3450239600712,3.686823741357186,0.8,0.0014084386245661884,0.01685960527645876,0.02504502558074417,0.13055984021768463,1
0.033096403,8.0,5661.879176369507,5648.568874157025,101.15525815331078,3.649132590133374,0.1,0.0014120964727154517,0.6450357352133493,0.5470780125213991,0.31842055683373505,1
0.12517872,1.0,680.9958069475492,1575.8625408570476,101.54824273204792,3.5133709157034803,0.8,0.0014111769409456132,0.07756589839842304,0.15262595658468395,0.17428887276579466,1
0.47206458,1.0,857.6024132329376,28.275091091623327,101.42119877973312,2.959615165117673,0.8,0.0014077129472150895,0.09768661085365925,0.0027381421084550625,0.15034631120931408,1
0.47784197,8.0,510.4871371211242,250.4558828925679,101.61051599142024,3.328286853517768,0.1,0.0014076552543396126,0.058139921143878205,0.024256921746199867,0.0377860400314223,0
0.07753808,8.0,1737.7827298330394,1033.093815965481,101.08165377572377,3.6852015788888193,0.1,0.0014116526792137263,0.19796516459275937,0.10005741323524174,0.09489511046260096,0
0.14146052,8.0,144.7480287027191,1077.3121821118225,101.34967722051316,3.712023398653881,0.1,0.001411014351288209,0.01647142646577151,0.1043400754281856,0.04130329804831945,0
3.5510113,1.0,1306.4286384423071,63.64341880507987,101.55310636448527,2.6746849713322027,0.8,0.0013769666604261932,0.14882118395798355,0.006163655376511469,0.16636102459384652,1
28.463438,8.0,293.2822936934901,51.464125592034975,101.55283170603651,3.1573410322869293,0.1,0.0011281917755116,0.0333938695073398,0.004984059585756529,0.026409839890782306,0
1.198118,2.0,98.13357424344872,92.84631703322788,101.1549102380528,3.5164905008804044,0.6,0.001400462595485985,0.011160662309434953,0.008992030982977076,0.095636766797846,0
0.0942222,8.0,1058.6836883679584,4116.661785471123,101.3782971474154,3.5936066245544533,0.1,0.0014114860719987021,0.12059571149390372,0.39870888123994797,0.13141450982136027,1
0.1983311,1.0,509.259198793794,162.21816735839332,101.49254164765652,3.50866580937411,0.8,0.0014104464430645391,0.05800002267395886,0.0157108726439037,0.141035837586041,1
4.9006023,8.0,774.7066379495735,77.44539313429908,101.547362510403,2.939527542756043,0.1,0.001363489677643659,0.08824233188067927,0.007500411995969228,0.043450003350572905,0
0.0483609,8.0,414.698625245855,1380.8411048865078,101.65189720394152,3.6342184454304367,0.1,0.0014119440418209894,0.0472267783997003,0.13373763022996277,0.05640973998053999,0
3.9966903,1.0,152.8021299176028,16.633153612996132,101.49265396233318,3.3146200124917216,0.8,0.0013725161208112402,0.017389026650943353,0.0016105905990364345,0.1260192067573742,1
11.663318,7.0,774.0487043709303,36.45252272476795,101.75941192616692,2.906413908254433,0.1,0.001295957363741218,0.08816737379938795,0.003530147339375365,0.04260982668500088,0
0.80795616,8.0,337.15225309346766,72.67349944172703,101.4950072265263,3.3518205344821848,0.1,0.0014043587420963233,0.03839195455679396,0.0070382418506886235,0.028416760296909625,0
24.952429,7.0,257.7127536414837,4.854681957935424,101.61822542942944,2.9466505976507773,0.1,0.0011632526256819542,0.02934144755889403,0.0004698154043843592,0.024303535767533763,0
0.5164705,1.0,373.3195054459162,44.07537333360232,101.71114045838112,2.606539819113891,0.8,0.001407269510781961,0.04251247360297072,0.004268439975445889,0.13409997440475407,1
1.0762702,8.0,558.2999018724031,441.1421192878176,101.24893497849898,3.3130653535786267,0.1,0.0014016793646424164,0.06358720826118877,0.042725372901133804,0.043111824836208235,0
0.042800758,8.0,813.4744165436205,1709.8738408963711,101.65537894630984,3.7114122187187615,0.1,0.0014119995652632777,0.09265912773008583,0.1656052947675162,0.07641299712037114,0
7.8070974,8.0,150.0994864414778,31.27445487605329,101.566824541259,3.332561775385671,0.1,0.0013344654885225626,0.017081115676399986,0.003028638185129438,0.02119712526092878,0
3.1215508,8.0,172.28448293262852,31.061424362084644,101.7849998472135,3.111226445592309,0.1,0.0013812552424961044,0.01960864250344031,0.0030080056333726063,0.02196763321258025,0
12.639901,8.0,329.6335362646967,89.21369992035797,101.47183909296832,3.094067492530103,0.1,0.0012862052297415438,0.03753535047767145,0.008640202696982931,0.02843881751310756,0
0.074054256,8.0,1990.9043406034475,2025.4029857692344,101.1670570301429,3.54762293942241,0.1,0.001411687468595213,0.22680319762923346,0.19616510186320923,0.12276807027542021,1
11.351722,5.0,928.9255424519484,14.266457046455892,101.75946931895328,2.9043836365342783,0.2,0.0012990689537910605,0.10581242338472822,0.0013813699653715122,0.062474675142319636,0
0.060205594,1.0,751.5537433057041,776.2597364920086,101.2496722141771,3.654701943487448,0.8,0.001411825760995855,0.08560453284567104,0.07518237379166914,0.1612119736283837,1
0.9815978,7.0,5232.74310625726,17.489287583731187,101.27273867638068,3.4088297525656075,0.1,0.0014026247609179032,0.5961444527607235,0.001693509370309608,0.19467295636860021,1
6.7008166,8.0,220.0202818963626,6.332708909336314,101.39115142289052,3.060437282441637,0.1,0.0013455127815870105,0.02504716094265524,0.0006129661061531172,0.023107670977582647,0
20.98601,7.0,13.481139353298548,17.500510556961434,101.42347971526404,3.0604963710209936,0.1,0.0012028611889958185,0.0015162478852773827,0.001694596344056818,0.016214795050543115,0
17.84834,6.0,247.573601319863,64.14354466216427,101.5176012586181,3.2898457493406466,1.0,0.0012341938850253253,0.0281862984243622,0.006212093848723683,0.16013027615681225,1
0.15791324,7.0,130.93079354586456,72.56833855605336,101.65725628994342,2.771732572554891,0.1,0.0014108500548278835,0.014897234982423513,0.007028056749145962,0.021368579363746004,0
0.30909282,8.0,111.26127678259526,385.2047906853407,101.62584125138711,3.3238281447625124,0.1,0.001409340379232349,0.012656295646962573,0.03730769913211043,0.02675169765324218,0
0.13347942,8.0,621.0390346783928,1551.4141101846064,101.2626615357573,3.489446186303238,0.1,0.0014110940503579972,0.07073504988179205,0.15025806335744096,0.06676601055365111,0
1.0801854,8.0,1053.162991627304,384.1399391417844,101.79712665036512,3.2185730778937933,0.1,0.0014016402675508521,0.11996674095872585,0.037204565528494375,0.05892150948695942,0
2.433116,8.0,646.7919486752013,11.475034421901777,101.39956387732464,3.232889440270072,0.1,0.001388129935604221,0.07366906797042956,0.0011110135234545567,0.037808768573281255,0
1.2488713,1.0,1718.8056790935334,81.97178968447999,101.6288888454151,2.866041321182945,0.8,0.001399955774270989,0.19580311760477181,0.007938805113244893,0.18081868082507535,1
0.6108782,8.0,1528.1139497280408,112.1631541312395,101.8870002033143,2.9743570183540093,0.1,0.001406326757794285,0.17407769331370868,0.01086291620865732,0.06988810560107206,0
0.09044018,8.0,163.47912154282477,1297.9891910516092,101.71254219254708,3.594107890513492,0.1,0.001411523839158102,0.018605451579186996,0.12571320983823103,0.046218310785107644,0
